event_date,industry,industry_label,n_posts,n_kol,influence_sum,sentiment_mean,sentiment_sum,bear_posts,bull_posts,ind_ret_1h,ind_ret_1d,ind_ret_5m,sentiment_dispersion,sig_disagreement_sum,bear_ratio,bull_ratio,kol_breadth_x_bear,y_up,ml_prob_up,ml_split,sig_ml_up_sum
2026-05-12,ai_tech,AI / 大模型,29,12,17.257875666393847,0.06261379310344828,1.8158,13,10,-0.008510075597128628,0.005965393846426538,-0.005092844656202848,0.3753450010363208,0.3753450010363208,0.4482758620689655,0.3448275862068966,-0.44713698884715264,1,0.9998811227555632,test,0.4998811227555632
2026-05-12,ai_tools,AI 工具 / Agent,4,2,6.311061943991441,-0.11095,-0.4438,3,0,-0.0116490863849201,-0.0037207975026103002,-0.0076982930348133,0.1420973492598179,0.1420973492598179,0.75,0.0,0.35010616134292516,0,0.7383055517946848,test,0.23830555179468482
2026-05-12,crypto,加密,4,2,7.718894635567094,-0.21147499999999997,-0.8458999999999999,3,1,-0.0022291282542455998,-0.0149156611043906,-0.000683835655753911,0.3419181030110378,0.3419181030110378,0.75,0.25,0.8161766215282754,0,0.4648588958766726,test,-0.03514110412332738
2026-05-13,ai_tech,AI / 大模型,54,22,46.20228886288969,0.18535555555555555,10.0092,16,33,0.0028089383850868,0.008131276020939056,0.0022206636331771074,0.4211023174491044,0.4211023174491044,0.2962962962962963,0.6111111111111112,-3.4889763007892935,1,0.99999999095256,test,0.49999999095256
2026-05-13,ai_tools,AI 工具 / Agent,5,2,6.8763757530415015,-0.00736,-0.0368,2,2,0.00283712754037976,0.00848952193221026,0.0028873597044946396,0.2459348450301421,0.2459348450301421,0.4,0.4,0.020244050216954183,1,0.6680043615193588,test,0.16800436151935882
2026-05-13,crypto,加密,7,5,14.866087451665258,0.027714285714285712,0.19399999999999998,3,3,-0.0015639822729547857,0.0223788764707975,0.00016426857877427145,0.19885735615067926,0.19885735615067926,0.42857142857142855,0.42857142857142855,-0.2942878536350061,1,0.7596941156103397,test,0.2596941156103397
2026-05-14,ai_tech,AI / 大模型,63,21,62.00698657273169,0.09095873015873017,5.7304,18,37,0.002210886023494311,-0.011212321438794652,0.000711579738301394,0.37677936028111375,0.37677936028111375,0.2857142857142857,0.5873015873015873,-1.8800255865417022,0,0.9999999999096771,test,0.49999999990967714
2026-05-14,ai_tools,AI 工具 / Agent,10,3,29.574735619362833,0.22938,2.2938,2,7,-0.00796501657690309,-0.015087714031981,-0.00937006181524184,0.35168029610239276,0.35168029610239276,0.2,0.7,-2.035155856910834,0,0.9326374136575761,test,0.43263741365757613
2026-05-14,consumer_tech,消费科技,7,1,11.110346124407465,0.2685285714285714,1.8797,3,4,0.0033545427511871427,-0.015087714031981,0.0012789848232252284,0.5398201667045724,0.5398201667045724,0.42857142857142855,0.5714285714285714,-0.4262064818377288,0,0.6572042707652633,test,0.15720427076526333
2026-05-14,crypto,加密,23,7,58.52449810111124,0.11385217391304348,2.6186,8,12,0.0021685331810025704,-0.0244977136379759,0.00014461257548661305,0.3406239180060416,0.3406239180060416,0.34782608695652173,0.5217391304347826,-2.027912580516048,0,0.9997953112658303,test,0.4997953112658303
2026-05-14,semiconductor,半导体,2,1,5.771834815093569,0.49565,0.9913,0,2,0.0020165153403783,-0.0405826822901672,-0.0055667102659572,0.34740156159695074,0.34740156159695074,0.0,1.0,-1.4304049630505635,0,0.18174029038098408,test,-0.31825970961901595
2026-05-15,ai_tech,AI / 大模型,133,31,121.00010071351754,0.09298421052631578,12.3669,45,75,-0.009277344684069273,-0.015087714031980998,-0.00992087890281247,0.30430668886037887,0.30430668886037887,0.3383458646616541,0.5639097744360902,-2.6224365713683078,0,1.0,test,0.5
2026-05-15,ai_tools,AI 工具 / Agent,12,3,34.94839225762627,0.25437499999999996,3.0524999999999998,0,8,-0.007903226927072923,-0.015087714031981,-0.0070429697199777775,0.29130469872626497,0.29130469872626497,0.0,0.6666666666666666,-2.2224993201334198,0,0.9672671114248397,test,0.4672671114248397
2026-05-15,consumer_tech,消费科技,6,2,6.516276276100607,0.3941666666666667,2.365,1,5,-0.0036539705983406074,-0.015087714031981,-0.0032772572682603,0.5036479153800467,0.5036479153800467,0.16666666666666666,0.8333333333333334,-0.8561662996098853,0,0.423853714508477,test,-0.07614628549152302
2026-05-15,crypto,加密,36,6,98.96866510118807,0.27484166666666665,9.8943,6,28,-0.0015468415894710167,-0.0118160267665125,-8.275991313768072e-05,0.3307418020795937,0.3307418020795937,0.16666666666666666,0.7777777777777778,-4.533452144030949,0,0.9999998364588761,test,0.49999983645887613
2026-05-15,semiconductor,半导体,5,1,14.429587037733922,0.17756000000000002,0.8878000000000001,2,2,-0.0319189724877522,-0.0405826822901672,-0.0338159954543338,0.48992848763875735,0.48992848763875735,0.4,0.4,-0.5124234948840071,0,0.4862844189475682,test,-0.013715581052431813
2026-05-16,crypto,加密,39,9,106.40330022842568,0.18747948717948718,7.3117,8,26,-0.0004447098576089811,0.0030410494175279,-0.00018827362094042075,0.37119753655849946,0.37119753655849946,0.20512820512820512,0.6666666666666666,-4.603485267930059,1,0.9999998951618515,test,0.4999998951618515
