signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry,industry_label,max_rank
sig_top_rank_only,sum,sig_top_rank_only_sum,仅行业排名前3 KOL,ind_ret_1d,1,22,-0.1431,0.006741,0.087868,ai_tools,AI 工具 / Agent,all
sig_engagement,sum,sig_engagement_sum,情绪 × 相对自身互动惊喜度,ind_ret_1d,1,22,-0.1462,0.002153,0.05022,ai_tools,AI 工具 / Agent,all
sig_bull_crowd,sum,sig_bull_crowd_sum,看多帖占比 × 情绪（拥挤做多，对照）,ind_ret_1d,1,22,-0.1533,0.006302,0.071987,ai_tools,AI 工具 / Agent,all
sig_momentum,sum,sig_momentum_sum,跟随情绪 × 影响力（非反转）,ind_ret_1d,1,22,-0.1594,0.005942,0.094485,ai_tools,AI 工具 / Agent,all
sig_baseline,sum,sig_baseline_sum,Sentiment × Influence（原版）,ind_ret_1d,1,22,-0.1594,0.005942,0.094485,ai_tools,AI 工具 / Agent,all
sig_sentiment_x_likes,sum,sig_sentiment_x_likes_sum,Sentiment × log(1+likes),ind_ret_1d,1,22,-0.1861,0.004282,0.067199,ai_tools,AI 工具 / Agent,all
sig_momentum_daily,sum,sig_momentum_daily_sum,跟随行业情绪动量（非反转）,ind_ret_1d,1,22,-0.1884,0.005942,0.077506,ai_tools,AI 工具 / Agent,all
sig_contrarian_orig,wmean,sig_contrarian_orig_wmean,仅原创帖（非 RT）反转,ind_ret_1d,1,22,-0.195,-0.006669,-0.083075,ai_tools,AI 工具 / Agent,all
sig_views_weighted,sum,sig_views_weighted_sum,情绪 × log(views),ind_ret_1d,1,22,-0.2152,0.001335,0.03592,ai_tools,AI 工具 / Agent,all
sig_contrarian_x_viral,wmean,sig_contrarian_x_viral_wmean,反转 × 互动惊喜度（连续加权）,ind_ret_1d,1,22,-0.219,-0.008043,-0.094485,ai_tools,AI 工具 / Agent,all
sig_attention_raw,sum,sig_attention_raw_sum,纯 Influence（无情绪）,ind_ret_1d,1,22,-0.2236,0.007521,0.042086,ai_tools,AI 工具 / Agent,all
sig_bull_x_eng,sum,sig_bull_x_eng_sum,看多帖 × 互动惊喜（对照）,ind_ret_1d,1,22,-0.2417,0.003583,0.054295,ai_tools,AI 工具 / Agent,all
sig_dual_confirm_contra,wmean,sig_dual_confirm_contra_wmean,看空 + 高互动双重确认反转,ind_ret_1d,1,22,-0.2567,-0.001738,-0.027279,ai_tools,AI 工具 / Agent,all
sig_bull_only,sum,sig_bull_only_sum,仅看多情绪 × Influence,ind_ret_1d,1,22,-0.2675,0.006741,0.056094,ai_tools,AI 工具 / Agent,all
sig_strong_bear_only,wmean,sig_strong_bear_only_wmean,强看空 (s<-0.2) 反转,ind_ret_1d,1,22,-0.2904,-0.002313,-0.025523,ai_tools,AI 工具 / Agent,all
sig_bear_x_eng,wmean,sig_bear_x_eng_wmean,看空帖 × 互动惊喜 × 反转,ind_ret_1d,1,22,-0.3193,-0.001637,-0.018262,ai_tools,AI 工具 / Agent,all
sig_rank1_contrarian,sum,sig_rank1_contrarian_sum,仅行业 #1 KOL 反转,ind_ret_1d,1,22,-0.325,-0.010897,-0.088362,ai_tools,AI 工具 / Agent,all
sig_sentiment_delta,sum,sig_sentiment_delta_sum,情绪相对5日均值突变 × 当日影响力,ind_ret_1d,1,20,-0.3373,-0.006467,-0.016152,ai_tools,AI 工具 / Agent,all
sig_viral_contrarian,wmean,sig_viral_contrarian_wmean,高互动惊喜帖才做情绪反转,ind_ret_1d,1,22,-0.3566,-0.006487,-0.058424,ai_tools,AI 工具 / Agent,all
sig_disagreement,sum,sig_disagreement_sum,sig_disagreement,ind_ret_1d,1,22,-0.3615,-0.004014,-0.005766,ai_tools,AI 工具 / Agent,all
sig_bear_bounce,wmean,sig_bear_bounce_wmean,仅明显看空帖反转（恐慌反弹）,ind_ret_1d,1,22,-0.3912,-0.01218,-0.037151,ai_tools,AI 工具 / Agent,all
sig_dual_confirm_contra,sum,sig_dual_confirm_contra_sum,看空 + 高互动双重确认反转,ind_ret_1d,1,22,-0.3968,-0.001738,-0.027279,ai_tools,AI 工具 / Agent,all
